alcance,lago,pixeles_validos,prevalencia_real,accuracy,precision,recall,f1,tp,fp,fn,tn
global,ambos,3419056,0.05039314945411833,0.994633842479492,0.9202569132890936,0.9782855969928173,0.9483844358798248,168556,14606,3741,3232153
lago,amatitlan,377304,0.4279175412929626,0.9588706507402124,0.9266623436419019,0.9815678443868191,0.9533251961207618,158479,12542,2976,203307
lago,atitlan,3041752,0.003564393152367451,0.99906996853316,0.8300223755118874,0.9294075991143292,0.8769079922030569,10077,2064,765,3028846
